altura_cm,edad_anios,percentil,distancia_m,unidad,fuente
180,70,10,453,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,10,403,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,25,567,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,25,565,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,25,545,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,70,25,494,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,25,444,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,50,611,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,50,609,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,50,589,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,70,50,538,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,50,488,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,75,648,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,75,646,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,75,626,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,70,75,575,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,75,525,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,90,687,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,90,685,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,90,664,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,70,90,614,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,90,564,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,40,97.5,735,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,50,97.5,733,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,60,97.5,712,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,70,97.5,662,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
180,80,97.5,611,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,2.5,511,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,50,2.5,509,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,2.5,488,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,2.5,438,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,2.5,388,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,10,544,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
