sexo,edad_rango,percentil,fuerza_kg,unidad,fuente
Hombre,60-64,60,45.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,70,47.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,80,51.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,90,55.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,60-64,95,59.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,5,23.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,10,27.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,20,31.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,30,34.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,40,37.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,50,40.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,60,42.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,70,45.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,80,48.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,90,53.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,65-69,95,56.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,5,21.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,10,25.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,20,29.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,30,32.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,40,35.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,50,37.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,60,40.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,70,43.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,80,46.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,90,50.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,70-74,95,54.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,5,20.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,10,23.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,20,27.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,30,29.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,40,32.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,50,35.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,60,37.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,70,40.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,80,43.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,90,47.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,75-79,95,51.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,5,18.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,10,20.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,20,24.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,30,27.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,40,29.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,50,32.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,60,34.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,70,37.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,80,40.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,90,44.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,80-84,95,48.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,5,15.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,10,18.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,20,21.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,30,24.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,40,27.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,50,29.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,60,31.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,70,34.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,80,37.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,90,41.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,85-89,95,44.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,5,13.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,10,16.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,20,19.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,30,21.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,40,24.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,50,26.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,60,28.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,70,31.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,80,34.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,90,38.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,90-94,95,41.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,5,11.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,10,13.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,20,16.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,30,18.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,40,20.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,50,23.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,60,25.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,70,27.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,80,30.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,90,34.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,95-99,95,37.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,5,8.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,10,10.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,20,13.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,30,15.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,40,17.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,50,19.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,60,22.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,70,24.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,80,27.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,90,30.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,+100,95,33.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,5,19.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,10,21.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,20,24.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,30,25.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,40,27.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,50,28.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,60,30.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,70,31.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,80,33.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,90,36.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,20-24,95,39.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,5,20.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,10,22.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,20,24.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,30,26.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,40,27.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,50,29.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,60,30.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,70,32.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,80,34.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,90,37.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,25-29,95,39.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,5,19.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,10,21.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,20,24.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,30,26.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,40,28.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,50,29.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,60,31.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,70,33.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,80,35.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,90,38.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,30-34,95,40.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,5,19.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,10,21.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,20,24.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,30,26.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,40,28.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,50,29.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,60,31.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,70,33.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,80,35.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,90,38.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,35-39,95,40.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,5,18.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,10,20.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,20,23.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,30,25.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,40,27.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,50,29.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,60,31.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,70,33.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,80,35.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,90,38.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,40-44,95,40.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,5,17.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,10,20.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,20,23.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,30,25.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,40,27.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,50,28.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,60,30.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,70,32.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,80,34.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,90,37.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,45-49,95,40.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,5,16.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,10,19.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,20,22.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,30,24.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,40,26.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,50,28.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,60,29.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,70,31.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,80,34.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,90,37.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,50-54,95,39.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,5,16.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,10,18.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,20,21.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,30,23.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,40,25.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,50,27.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,60,29.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,70,30.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,80,33.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,90,36.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,55-59,95,38.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,60-64,5,15.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,60-64,10,17.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Mujer,60-64,20,20.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
